Id,SalePrice
0,125633.33333333333
1,143789.47368421053
2,176481.44444444444
3,176481.44444444444
4,310499.0
5,176481.44444444444
6,176481.44444444444
7,176481.44444444444
8,176481.44444444444
9,171077.77777777778
10,171077.77777777778
11,104493.75
12,104493.75
13,142694.44444444444
14,142694.44444444444
15,334981.5882352941
16,235290.8620689655
17,334981.5882352941
18,334981.5882352941
19,425142.14285714284
20,235290.8620689655
21,235290.8620689655
22,230710.625
23,194870.88235294117
24,188379.38461538462
25,188379.38461538462
26,536416.6666666666
27,233173.61538461538
28,229838.0625
29,295173.3333333333
30,214945.32
31,161472.2142857143
32,136635.7142857143
33,300817.3714285714
34,300817.3714285714
35,180410.27777777778
36,180410.27777777778
37,180410.27777777778
38,167533.33333333334
39,167533.33333333334
40,180410.27777777778
41,180410.27777777778
42,295173.3333333333
43,229838.0625
44,229838.0625
45,175115.7894736842
46,172750.0
47,172750.0
48,172750.0
49,154625.0
50,137166.66666666666
51,159083.33333333334
52,134376.66666666666
53,129984.09090909091
54,134205.44827586206
55,134205.44827586206
56,191379.04761904763
57,134376.66666666666
58,154625.0
59,149300.0
60,149300.0
61,143789.47368421053
62,134205.44827586206
63,129475.0
64,134205.44827586206
65,144521.875
66,134205.44827586206
67,129475.0
68,141323.33333333334
69,191379.04761904763
70,127090.0
71,107876.54545454546
72,120631.2
73,118179.0
74,130654.90909090909
75,120631.2
76,118179.0
77,127090.0
78,127090.0
79,133176.03125
80,127090.0
81,140924.0
82,137544.79166666666
83,89985.0
84,140924.0
85,140924.0
86,140924.0
87,140924.0
88,140924.0
89,140924.0
90,127090.0
91,120631.2
92,133176.03125
93,130654.90909090909
94,212565.42857142858
95,212565.42857142858
96,142591.36
97,142591.36
98,142591.36
99,142591.36
100,139369.875
101,165375.0
102,140098.33333333334
103,139369.875
104,159250.0
105,212565.42857142858
106,123112.5
107,212565.42857142858
108,111517.39130434782
109,111517.39130434782
110,132750.0
111,132750.0
112,135470.0
113,111517.39130434782
114,161472.2142857143
115,214945.32
116,231793.75
117,149434.11764705883
118,201133.62962962964
119,208039.42857142858
120,280900.0
121,128954.54545454546
122,280900.0
123,208039.42857142858
124,143470.0
125,135470.0
126,135470.0
127,121513.04347826086
128,135470.0
129,175094.0
130,132750.0
131,142591.36
132,142591.36
133,142591.36
134,142591.36
135,184638.88235294117
136,273250.0
137,273250.0
138,137500.0
139,137500.0
140,100123.78378378379
141,100123.78378378379
142,100123.78378378379
143,297875.0
144,166777.0
145,162987.5
146,162987.5
147,242247.44736842104
148,242247.44736842104
149,242247.44736842104
150,162987.5
151,166777.0
152,166777.0
153,98576.4705882353
154,98576.4705882353
155,98576.4705882353
156,98576.4705882353
157,166777.0
158,166777.0
159,137544.73684210525
160,137544.73684210525
161,137544.73684210525
162,166777.0
163,166777.0
164,134205.44827586206
165,159083.33333333334
166,176481.44444444444
167,188379.38461538462
168,176481.44444444444
169,310499.0
170,310499.0
171,310499.0
172,188379.38461538462
173,188379.38461538462
174,176481.44444444444
175,176481.44444444444
176,176481.44444444444
177,170903.66666666666
178,172716.66666666666
179,184987.5
180,175115.7894736842
181,238276.0
182,229838.0625
183,229838.0625
184,232625.0
185,184987.5
186,184987.5
187,137166.66666666666
188,133343.75
189,125633.33333333333
190,125633.33333333333
191,104493.75
192,104493.75
193,142694.44444444444
194,142694.44444444444
195,142694.44444444444
196,142694.44444444444
197,142694.44444444444
198,142694.44444444444
199,137166.66666666666
200,334981.5882352941
201,334981.5882352941
202,350170.375
203,425142.14285714284
204,334981.5882352941
205,425142.14285714284
206,350170.375
207,329448.4166666667
208,350170.375
209,334981.5882352941
210,235290.8620689655
211,334981.5882352941
212,235290.8620689655
213,235290.8620689655
214,235290.8620689655
215,235290.8620689655
216,235290.8620689655
217,425142.14285714284
218,425142.14285714284
219,334981.5882352941
220,334981.5882352941
221,425142.14285714284
222,235290.8620689655
223,188379.38461538462
224,188379.38461538462
225,194870.88235294117
226,188379.38461538462
227,188379.38461538462
228,188379.38461538462
229,188379.38461538462
230,188379.38461538462
231,230710.625
232,188379.38461538462
233,176481.44444444444
234,176481.44444444444
235,240425.0
236,176481.44444444444
237,300817.3714285714
238,300817.3714285714
239,300817.3714285714
240,300817.3714285714
241,238276.0
242,229838.0625
243,252250.625
244,295173.3333333333
245,295173.3333333333
246,295173.3333333333
247,229838.0625
248,252250.625
249,229838.0625
250,295173.3333333333
251,229838.0625
252,229838.0625
253,229838.0625
254,229838.0625
255,161472.2142857143
256,161472.2142857143
257,161472.2142857143
258,214945.32
259,161472.2142857143
260,161472.2142857143
261,161472.2142857143
262,161472.2142857143
263,161472.2142857143
264,214945.32
265,214945.32
266,161472.2142857143
267,214945.32
268,214945.32
269,214945.32
270,133476.6
271,131333.33333333334
272,123112.5
273,140098.33333333334
274,139369.875
275,133476.6
276,238772.72727272726
277,300817.3714285714
278,167533.33333333334
279,180410.27777777778
280,180410.27777777778
281,180410.27777777778
282,180410.27777777778
283,238772.72727272726
284,238772.72727272726
285,238772.72727272726
286,232625.0
287,215000.0
288,154234.16666666666
289,154234.16666666666
